track_id,track_name,artist_id,artist_name,all_artists,genres,popularity,played_at,date,hour,duration_min,weekday
4ix1U2yxnFlvcHKfvemNsp,SOCA SOCA DO SUBMUNDO (FUNK VERSION),0IhzJFf4QBEz0ifqLwScKV,Dj GBR,"Dj GBR, Victor Lou, MC Theuzyn","funk, brazilian funk",66,2025-05-13 17:06:51.663000-03:00,2025-05-13,17,2.769216666666667,Tuesday
2Pznian51wuUQVccB7Vlay,Beckzinho de Flor,5wz306kfhCBTtqb9wuILIt,MC Rafa 22,"MC Rafa 22, MC Menor Do 12, DJ Douglinhas","funk, brazilian funk",46,2025-05-13 17:04:05.024000-03:00,2025-05-13,17,2.769216666666667,Tuesday
0qji6dghQLjtdEQcGV8zp4,Tu Tem Fama de Piranha,17YVoxD7Ce7ZNqhn2lnZtp,DJ Gzzin 011,DJ Gzzin 011,,31,2025-05-13 17:01:18.340000-03:00,2025-05-13,17,2.5469333333333335,Tuesday
6Uge48Oo3tJf6QkGBj2HYH,Parapapapa,3fJhU7uVbc7ofhDXfBXJnS,DJ Ery,"DJ Ery, Mc Rd, Mc Gw","funk, brazilian funk",36,2025-05-13 16:58:45.050000-03:00,2025-05-13,16,2.599266666666667,Tuesday
3V91NTO6GNIxy26sNz49tC,Quem Divide Multiplica,0sf2x76J3BWkY9mIgFX2Lz,THEUZ ZL,"THEUZ ZL, DJ Martins 011","phonk, brazilian phonk",39,2025-05-13 16:56:08.584000-03:00,2025-05-13,16,2.4962,Tuesday
4VCcGZiWebT1JiBtFzdKXQ,Magrão Surfista (feat. Mc Pedrinho & Mc Gw),68sRe1jDgKyZ9bYjAvwEAz,DJ Blakes,"DJ Blakes, Mc Pedrinho, MC GW","brazilian funk, funk",23,2025-05-13 16:53:38.316000-03:00,2025-05-13,16,3.742,Tuesday
2m6EbQUVqjXmNs1t0Rbl5k,Ei Moto Taxi,22RXQj1gd5zEbcRjdxiJbu,DJ Arana,"DJ Arana, Mc Monik do pix","funk, brazilian funk",32,2025-05-13 16:49:53.248000-03:00,2025-05-13,16,3.1684,Tuesday
37qhuOhoPO3CwHoGtYUTsX,Roça Tcheca Raspadinha,03wlYZ0ebYVTEunPQXmfMv,DJ Bokinha,"DJ Bokinha, WR Original, MC GSEIS","brazilian funk, funk",48,2025-05-13 16:46:42.666000-03:00,2025-05-13,16,2.1846,Tuesday
6sGuSrfxPEC8NE0Pbhhcs9,Automotivo Místico,68sRe1jDgKyZ9bYjAvwEAz,DJ Blakes,"DJ Blakes, Mc Gw, Mc Magrinho","brazilian funk, funk",47,2025-05-13 16:44:31.108000-03:00,2025-05-13,16,2.5524333333333336,Tuesday
495M9UsPxmaroMdKGtgbVh,Montagem Sinfonica,7yC8pbSjZCPUp7q9zxhGAC,DJ Holanda,"DJ Holanda, DJ Aposan, Mc Vitorioso","brazilian phonk, phonk",26,2025-05-13 16:41:57.445000-03:00,2025-05-13,16,3.10605,Tuesday
2aWgVVVkB6tshEkMCItuNH,Quer Lancinha na Lata Menina,0f1IECbrVV952unZkzrsg2,Mc Gw,"Mc Gw, Yuri Redicopa, Mc Magrinho, DJ MDF, DJ Guiih DZ7","phonk, brazilian phonk, funk, brazilian funk, funk carioca",39,2025-05-13 16:38:50.573000-03:00,2025-05-13,16,1.89605,Tuesday
6ehmOxh9Qq9BlLnvz4RYcV,Igual PC Da China,1hvIB4huz2PS9YhLax2gzG,DJ LKS 067,"DJ LKS 067, Mc Menor Do Alvorada, Mc Luizinho, FreesTyle Sounds","funk, brazilian funk",68,2025-05-13 16:36:56.303000-03:00,2025-05-13,16,1.8169,Tuesday
2ZF73nKX6Z40c8pcQqcpUU,No pelo e na Pele,2LPJhESarLxK9TJRiZxywm,MC ARCANJO,"MC ARCANJO, DJ Salatiel, DJ Lucas ZN, Mc Lira Jhonny, Mc Rf",brazilian funk,36,2025-05-13 16:35:06.799000-03:00,2025-05-13,16,2.2769166666666667,Tuesday
3r13yrpqas8U80bMZw9zy7,Macetinho Automotivo,7yNSlKunwdC2dvPeGNgijw,DJ Pablo PS,"DJ Pablo PS, MC FERA, G7 MUSIC BR",,14,2025-05-13 16:32:49.691000-03:00,2025-05-13,16,1.9825666666666666,Tuesday
3QIA1Kfl592xCUnN6It6Qs,gucci con tacchini!,05qCf6M7E7AxizHVmrcPqh,Kyan,"Kyan, Mu540","brazilian trap, trap, trap funk, brazilian hip hop",52,2025-05-13 16:30:50.217000-03:00,2025-05-13,16,2.7060833333333334,Tuesday
0RfY9ssusB06CBLUIejcAY,Universo do Mandelão,68sRe1jDgKyZ9bYjAvwEAz,DJ Blakes,"DJ Blakes, MC Madan, Mc Gw","brazilian funk, funk",54,2025-05-13 16:28:07.349000-03:00,2025-05-13,16,5.207683333333334,Tuesday
04cJEdEXKG1zIoUXqVYE7r,Mtg Mão no Chão Fico de 4,6MSMZkBlZT4vhQmjO5Ynv3,Dj Brunin XM,"Dj Brunin XM, Mc Vick, Miury Dj","phonk, brazilian phonk",43,2025-05-13 16:00:28.214000-03:00,2025-05-13,16,2.1538166666666667,Tuesday
1OIsWlOasGpnxSARF9LGKs,Onze Mil pra Gasta Todo,3IzTSvr8avkolLbuzHpcZN,DJ Kauan NK,"DJ Kauan NK, Mc Pbó, DJ Biel Divulga, Mc 2M Rapper",,38,2025-05-13 15:58:18.462000-03:00,2025-05-13,15,1.7307666666666666,Tuesday
231MDT55KLozyCYumxKoWT,Medley Exclusivo,1pJmGoAf22z9Yrp35lRFzI,DJ Piu,"DJ Piu, Mc Gw, Dj Will Canalha","funk, brazilian funk",49,2025-05-13 15:56:34.111000-03:00,2025-05-13,15,1.8076833333333333,Tuesday
6SXgLTXFwsmF4s6xRt2CRu,Falando com as Favelas,6vHeztszLzqchlxlfUnwAo,Memphis Depay,"Memphis Depay, MC Hariel, André Nine",,57,2025-05-13 15:54:31.144000-03:00,2025-05-13,15,3.1758166666666665,Tuesday
