track_name,quantidade
Falando com as Favelas,7
Sem Rede - Ao Vivo,2
SOCA SOCA DO SUBMUNDO (FUNK VERSION),2
Beckzinho de Flor,1
Automotivo Místico,1
BÊBADOS - Ao Vivo,1
Cortando as BR (F&J 10 Anos) - Ao Vivo,1
Duas Três,1
Catucada Violenta,1
A Morte do Autotune,1
Essa Mina,1
Ei Moto Taxi,1
Igual PC Da China,1
Macetinho Automotivo,1
Metade De Mim - Ao Vivo,1
Montagem Sinfonica,1
Magrão Surfista (feat. Mc Pedrinho & Mc Gw),1
Medley Exclusivo,1
No pelo e na Pele,1
Nois é Nois,1
O Fim é Triste (feat. DJ BOY),1
Onze Mil pra Gasta Todo,1
PERIGO NOTURNO - Ao Vivo,1
PUTO (feat. Alee),1
Mtg Mão no Chão Fico de 4,1
Nada Nada - Ao Vivo,1
Perdeu o Cara Errado - Ao Vivo,1
Parapapapa,1
Pra Sempre - Ao Vivo,1
Perfume De Ice,1
Quem Divide Multiplica,1
Quer Lancinha na Lata Menina,1
Roça Tcheca Raspadinha,1
Pot-Pourri: Te Amar Foi Ilusão / Passou da Conta / O Grande Amor da Minha Vida (Convite de Casamento) / Agora Vai - Ao Vivo,1
SOLTEIROU - Ao Vivo,1
Status Que Eu Não Queria - Ao Vivo,1
Só de Imaginar - Ao Vivo,1
Tipo Yellowstone,1
Tu Tem Fama de Piranha,1
Uma Leve Colocada,1
Universo do Mandelão,1
gucci con tacchini!,1
